ano_mes_ref;nom_municipio;sgl_uf;macro_regional_ipsemg;micro_regional_ipsemg;bh_rmbh_interior_ipsemg;dsc_sexo;desc_faixa_etaria;qtde_benef
202605;BARRA LONGA;MG;LESTE DO SUL;PONTE NOVA;INTERIOR;Masculino;59+ ANOS;61
202601;CONSELHEIRO LAFAIETE;MG;CENTRO SUL;CONSELHEIRO LAFAIETE;INTERIOR;Masculino;44 - 48 ANOS;51
202607;ITUETA;MG;LESTE;RESPLENDOR;INTERIOR;Masculino;44 - 48 ANOS;3
202604;PONTO DOS VOLANTES;MG;NORDESTE;JEQUITINHONHA;INTERIOR;Masculino;39 - 43 ANOS;5
202607;ATALEIA;MG;NORDESTE;TEOFILO OTONI;INTERIOR;Masculino;39 - 43 ANOS;10
202606;GURINHATA;MG;TRIANGULO DO NORTE;ITUIUTABA;INTERIOR;Feminino;59+ ANOS;32
202602;BELMIRO BRAGA;MG;SUDESTE;JUIZ DE FORA;INTERIOR;Masculino;49 - 53 ANOS;1
202605;CHAPADA DO NORTE;MG;NORDESTE;MINAS NOVAS;INTERIOR;Masculino;34 - 38 ANOS;12
202607;GOIANA;MG;SUDESTE;JUIZ DE FORA;INTERIOR;Feminino;00 - 18 ANOS;4
202607;MARAVILHAS;MG;CENTRO;SETE LAGOAS;INTERIOR;Feminino;00 - 18 ANOS;16
202602;MIRABELA;MG;NORTE;BRASILIA DE MINAS;INTERIOR;Feminino;54 - 58 ANOS;39
202601;LUZ;MG;OESTE;BOM DESPACHO;INTERIOR;Feminino;29 - 33 ANOS;11
202606;ITATIAIUCU;MG;OESTE;ITAUNA;RMBH;Feminino;44 - 48 ANOS;7
202608;TIMOTEO;MG;LESTE;CORONEL FABRICIANO;INTERIOR;Feminino;24 - 28 ANOS;68
202605;DIONISIO;MG;LESTE;CORONEL FABRICIANO;INTERIOR;Feminino;54 - 58 ANOS;16
202606;COLUNA;MG;NORDESTE;DIAMANTINA;INTERIOR;Feminino;54 - 58 ANOS;17
202605;SERRA NEGRA;SP;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Feminino;59+ ANOS;1
202606;PAINEIRAS;MG;CENTRO;ABAETE;INTERIOR;Masculino;59+ ANOS;35
202603;PORCIUNCULA;RJ;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Masculino;00 - 18 ANOS;11
202607;CORONEL FABRICIANO;MG;LESTE;CORONEL FABRICIANO;INTERIOR;Masculino;19 - 23 ANOS;62
202607;CHALE;MG;LESTE DO SUL;MANHUACU;INTERIOR;Masculino;00 - 18 ANOS;26
202608;JAPARAIBA;MG;OESTE;LAGOA DA PRATA;INTERIOR;Masculino;34 - 38 ANOS;6
202601;MOGI DAS CRUZES;SP;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Feminino;59+ ANOS;5
202601;JAPONVAR;MG;NORTE;JANUARIA;INTERIOR;Masculino;00 - 18 ANOS;13
202602;SANTO ANTONIO DO GRAMA;MG;LESTE DO SUL;PONTE NOVA;INTERIOR;Masculino;29 - 33 ANOS;3
202605;PERDIZES;MG;TRIANGULO DO SUL;ARAXA;INTERIOR;Feminino;59+ ANOS;83
202606;AIURUOCA;MG;SUL;SAO LOURENCO;INTERIOR;Masculino;54 - 58 ANOS;3
202604;AMPARO DO SERRA;MG;LESTE DO SUL;PONTE NOVA;INTERIOR;Masculino;44 - 48 ANOS;3
202604;SAO JOAO NEPOMUCENO;MG;SUDESTE;JUIZ DE FORA;INTERIOR;Feminino;54 - 58 ANOS;12
202603;SAO SEBASTIAO DO PARAISO;MG;SUL;SAO SEBASTIAO DO PARAISO;INTERIOR;Feminino;34 - 38 ANOS;43
202607;VARGEM ALEGRE;MG;LESTE;CARATINGA;INTERIOR;Feminino;24 - 28 ANOS;8
202604;SERRA AZUL DE MINAS;MG;CENTRO;GUANHAES;INTERIOR;Masculino;00 - 18 ANOS;11
202603;ITUIUTABA;MG;TRIANGULO DO NORTE;ITUIUTABA;INTERIOR;Masculino;59+ ANOS;573
202603;SANTO ANTONIO DO AMPARO;MG;OESTE;OLIVEIRA;INTERIOR;Masculino;49 - 53 ANOS;19
202605;NOVA RESENDE;MG;SUL;PASSOS;INTERIOR;Feminino;44 - 48 ANOS;20
202607;ABAETE;MG;CENTRO;ABAETE;INTERIOR;Masculino;19 - 23 ANOS;22
202608;CONCEICAO DA APARECIDA;MG;SUL;ALFENAS;INTERIOR;Masculino;39 - 43 ANOS;1
202604;GUARARA;MG;SUDESTE;JUIZ DE FORA;INTERIOR;Masculino;39 - 43 ANOS;2
202608;SANTA BARBARA DO LESTE;MG;LESTE;CARATINGA;INTERIOR;Feminino;34 - 38 ANOS;18
202601;BUENO BRANDAO;MG;SUL;OURO FINO;INTERIOR;Feminino;29 - 33 ANOS;12
202602;PAIVA;MG;CENTRO SUL;BARBACENA;INTERIOR;Feminino;19 - 23 ANOS;1
202607;LAJEDO;PE;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Masculino;29 - 33 ANOS;1
