ano_mes_ref;nom_municipio;sgl_uf;macro_regional_ipsemg;micro_regional_ipsemg;bh_rmbh_interior_ipsemg;dsc_sexo;desc_faixa_etaria;qtde_benef
202512;GALILEIA;MG;LESTE;GOVERNADOR VALADARES;INTERIOR;Feminino;29 - 33 ANOS;9
202512;CARMOPOLIS DE MINAS;MG;OESTE;OLIVEIRA;INTERIOR;Feminino;39 - 43 ANOS;17
202512;IPATINGA;MG;LESTE;IPATINGA;INTERIOR;Feminino;29 - 33 ANOS;189
202512;JUATUBA;MG;CENTRO;BETIM;RMBH;Masculino;00 - 18 ANOS;26
202512;FRANCISCO BADARO;MG;NORDESTE;MINAS NOVAS;INTERIOR;Masculino;59+ ANOS;41
202512;MATHIAS LOBATO;MG;LESTE;GOVERNADOR VALADARES;INTERIOR;Feminino;54 - 58 ANOS;4
202512;SAO TIAGO;MG;CENTRO SUL;SAO JOAO DEL REI;INTERIOR;Feminino;34 - 38 ANOS;16
202512;PASSOS;MG;SUL;PASSOS;INTERIOR;Masculino;54 - 58 ANOS;102
202512;PIEDADE DOS GERAIS;MG;CENTRO;BETIM;INTERIOR;Feminino;49 - 53 ANOS;7
202512;COUTO DE MAGALHAES DE MINAS;MG;NORDESTE;DIAMANTINA;INTERIOR;Masculino;34 - 38 ANOS;4
202512;SUMIDOURO;RJ;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Masculino;00 - 18 ANOS;2
202512;SAO FRANCISCO;MG;NORTE;SAO FRANCISCO;INTERIOR;Feminino;19 - 23 ANOS;92
202512;SANTA RITA DE CALDAS;MG;SUL;POCOS DE CALDAS;INTERIOR;Masculino;29 - 33 ANOS;2
202512;ALPINOPOLIS;MG;SUL;PASSOS;INTERIOR;Masculino;49 - 53 ANOS;18
202512;PARA DE MINAS;MG;OESTE;PARA DE MINAS;INTERIOR;Feminino;59+ ANOS;1074
202512;RIO NOVO;MG;SUDESTE;UBA;INTERIOR;Feminino;44 - 48 ANOS;5
202512;GUIDOVAL;MG;SUDESTE;UBA;INTERIOR;Masculino;59+ ANOS;35
202512;JOAO PINHEIRO;MG;NOROESTE;JOAO PINHEIRO;INTERIOR;Masculino;59+ ANOS;277
202512;DOM CAVATI;MG;LESTE;CARATINGA;INTERIOR;Feminino;24 - 28 ANOS;11
202512;PASSA QUATRO;MG;SUL;SAO LOURENCO;INTERIOR;Feminino;54 - 58 ANOS;13
202512;ITANHOMI;MG;LESTE;GOVERNADOR VALADARES;INTERIOR;Masculino;34 - 38 ANOS;8
202512;LAGOA SANTA;MG;CENTRO;PEDRO LEOPOLDO;RMBH;Masculino;54 - 58 ANOS;61
202512;RIO DAS FLORES;RJ;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Masculino;59+ ANOS;2
202512;MIRABELA;MG;NORTE;BRASILIA DE MINAS;INTERIOR;Masculino;29 - 33 ANOS;18
202512;POTIM;SP;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Feminino;49 - 53 ANOS;1
202512;MIRAI;MG;SUDESTE;MURIAE;INTERIOR;Masculino;29 - 33 ANOS;13
202512;DORES DE CAMPOS;MG;CENTRO SUL;BARBACENA;INTERIOR;Masculino;44 - 48 ANOS;3
202512;RUBELITA;MG;NORTE;SALINAS;INTERIOR;Masculino;44 - 48 ANOS;12
202512;CAMPOS GERAIS;MG;SUL;ALFENAS;INTERIOR;Feminino;59+ ANOS;230
202512;LIBERDADE;MG;SUDESTE;JUIZ DE FORA;INTERIOR;Masculino;29 - 33 ANOS;9
202512;MIRACEMA;RJ;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Feminino;59+ ANOS;2
202512;BONFINOPOLIS DE MINAS;MG;NOROESTE;UNAI;INTERIOR;Feminino;24 - 28 ANOS;16
202512;NINHEIRA;MG;NORTE;TAIOBEIRAS;INTERIOR;Masculino;34 - 38 ANOS;7
202512;COLOMBIA;SP;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Feminino;49 - 53 ANOS;1
202512;ITANHOMI;MG;LESTE;GOVERNADOR VALADARES;INTERIOR;Masculino;00 - 18 ANOS;26
